,wine_notes_clean
458,This displays intensity and precision with notes of fleur de sel and sage underscoring grapefruit and white peach flavors Shows a bit of crunch in texture Long inviting and quite balanced Drink now through cases made cases imported
459,A rich medium to full bodied red in a well tailored frame knitting saturated flavors of crushed boysenberry pomegranate black licorice toast and spice to fine grained tannins and a graphite laced underpinning that echoes on the finish Montepulciano and Sangiovese Best from through cases made cases imported
460,Pure tasting red currant and raspberry flavors are supported by crunchy acidity in this juicy style Mineral and white pepper accents show midpalate with freshly crushed cooking spice details on the finish Drink now through cases imported
461,An atypical version with a gorgeous mix of orchard blossom yellow apple and elderflower flavors showing hints of lemon Elegant yet very expressive driven by vibrant acidity and a minerally backbone Turns savory on the well defined finish Drink now through cases made cases imported
462,Opens with supple and expressive red currant green olive and clove flavors then shifts gears and takes on increasingly muscular yet polished tannins on the long finish Merlot Cabernet Sauvignon Cabernet Franc and Petit Verdot Drink now through cases made
463,Sleek and vibrant with snappy raspberry and red plum flavors accented by sweet basil and spice and finishing with fine grained tannins Drink now through cases made
464,A lovely hint of honeysuckle accents the flavors of mirabelle plum white cherry anise and grated ginger in this vibrant Champagne which is finely knit and detailed in texture with a mouthwatering finish of ripe fruit spice and chalk accents Disgorged November Drink now through cases made cases imported
465,Succulent and refreshing with Key lime preserved ginger and green apple candy flavors that are intense and focused Reveals a hint of toasted green tea on the juicy finish Drink now cases made cases imported
466,A dark and winey style offering a mix of plum black currant and black cherry notes infused with black tea fruitcake and anise accents Solidly built vibrant and energetic from start to finish this carries copious fruit easily through the lengthy finish Grenache Cinsault Syrah Mourv dre and Counoise Best from through cases imported
467,This offers blackberry boysenberry and a a berry compote flavors that sparkle with anise sassafras and sage accents Shows serious tarry grip but that recedes into the fruit as this airs in the glass leaving embers of singed juniper and alder at the very end Best from through cases made
468,Sandalwood inflected dried cherry and berry flavors are filled with sanguine richness The lusciously spiced finish features a creamy texture Drink now through cases made cases imported
469,Svelte and finely knit this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame components well meshed with the pleasing range of pink grapefruit sorbet nectarine and grated ginger notes plus a touch of almond skin that imparts a light tactile sensation to the racy finish Drink now through cases made cases imported
